ID,DATE,MEDIATYPE,LIKES,SHARE,COMMENTS,ENGAGEMENT
4dee6b60-6662-4bbf-b733-89ff5b969165,2024-06-10,STATIC_POST,4304,185,217,4706
05443be4-8f6a-496b-b91e-c5a71db57664,2024-02-04,REELS,4656,49,351,5056
ae036105-0cb2-4875-8ccb-63754536ccfa,2024-05-29,VIDEO,4113,149,358,4620
c16c4e96-2b12-4675-bef2-7f000d0391a2,2024-01-10,REELS,1100,193,79,1372
05404a1f-e76a-45b5-8c7f-22e8f68fe172,2024-10-17,STATIC_POST,1084,378,292,1754
b5d88f08-dd84-4714-abd8-0ed771196f14,2024-03-25,TEXT,3737,927,268,4932
485e085c-0923-42ed-8ef0-00b210bffce2,2024-05-11,VIDEO,2877,736,247,3860
45bd5f98-7ef8-403d-a7f1-cefbd30a354f,2024-04-22,TEXT,75,558,212,845
bf430652-1a73-42ec-a8f1-cd2fe7ece130,2024-08-17,REELS,3921,329,471,4721
e10f85ed-1988-46fd-a96f-5d465a92adf7,2024-03-25,VIDEO,3492,937,496,4925
26fa99aa-d7cd-4789-8394-d92e719ee0e6,2024-10-04,STATIC_POST,4574,924,133,5631
41a553ac-f6d9-413b-8cdb-b5b8c0d16cc7,2024-12-26,VIDEO,3715,349,388,4452
976020a1-0f72-49f6-a206-a6b46d806554,2024-08-24,VIDEO,712,717,353,1782
e2ba1fdb-283a-4a8e-871b-3aba8ba9f65e,2024-07-30,STATIC_POST,2038,483,322,2843
a767a6da-8681-42d8-9914-62cfe37f6f88,2024-06-20,REELS,668,626,293,1587
25a0fad8-7ee4-48f8-be93-8ff421f790f8,2024-06-28,VIDEO,1910,271,373,2554
70df07f9-4493-462b-93dc-eca30917330a,2024-05-15,REELS,1121,224,184,1529
4d5c1004-94eb-4f44-958e-efa4ef0bff68,2024-10-18,TEXT,4485,253,197,4935
fd8cac79-38d4-4480-9071-06ec17a3b1fd,2024-07-23,STATIC_POST,731,431,305,1467
c414d19e-dbd4-4a92-8c7f-fb63c51f7f87,2024-05-10,REELS,3967,614,291,4872
3dcd1357-694c-4986-bd18-eee94e64a930,2024-02-20,STATIC_POST,3026,48,291,3365
b2c43b98-5dd4-40b6-8b36-dbc7b5f01440,2024-08-09,REELS,2275,803,440,3518
b228f1e6-8cbf-4db8-a51b-9f35a22108da,2024-06-07,STATIC_POST,958,728,157,1843
8ee51b2b-8466-4963-81d5-e730ca2e0efb,2024-02-23,TEXT,769,420,68,1257
3cc5e8e0-c092-48d3-99a3-f5ede34b3825,2024-03-19,VIDEO,1260,338,124,1722
016cb876-d974-4d62-8387-9ebc73744951,2024-03-28,VIDEO,3794,782,180,4756
d05338c2-4ea4-4c1f-9ae3-a5e5f3cf2751,2024-03-04,REELS,3090,465,224,3779
4ed9e22e-9150-442a-857e-32d9cc609599,2024-03-27,STATIC_POST,634,116,448,1198
f3b99cfe-06f4-4d78-a1b0-5d0d07dc96a9,2024-01-27,STATIC_POST,1523,20,500,2043
3093d398-c74f-4762-8fa6-d03270f1b4a3,2024-09-26,REELS,4309,583,389,5281
5cd3e4c5-a4ab-4d2e-a613-af1b91a87000,2024-07-13,STATIC_POST,420,112,393,925
2d1cdbe0-62ea-48f8-8b20-6193a9db94d5,2024-05-17,REELS,3566,325,353,4244
4fc1ccdb-5778-4203-b908-298d688fb671,2024-08-03,TEXT,3199,482,434,4115
3b4e076f-ab29-4793-9d78-e5f55c31195d,2024-08-02,VIDEO,3008,420,500,3928
c30daaad-dee1-4909-9097-332be2f542f6,2024-09-14,REELS,3363,667,479,4509
f95d6444-9c44-49ac-9df8-4ab694077d81,2024-06-17,STATIC_POST,4875,405,295,5575
d705e2fa-1a2f-4c1e-af1d-351fb530018e,2024-03-05,REELS,515,30,140,685
5acc34d3-9c85-47a7-a0e5-8f592744fedf,2024-10-01,TEXT,828,877,432,2137
5ba0448f-9329-44fb-954d-8be8dcee711f,2024-03-08,TEXT,4136,718,239,5093
bbb4b0aa-425c-4cfc-9838-ae3d88026779,2024-09-04,REELS,2424,583,478,3485
cb3cd350-f53e-4127-8c5f-6c0f7073b823,2024-10-16,TEXT,912,549,461,1922
74881e88-8d31-4dbd-9588-530f8a947b45,2024-08-26,VIDEO,3867,472,468,4807
2093bc06-babe-4f66-9137-bcd4831fbb6e,2024-04-13,REELS,1859,131,33,2023
f73371fd-ba9a-44a8-b5e9-9b366748d5fc,2024-05-29,REELS,3046,702,314,4062
1fa13c1d-a319-414b-86ee-bc5eb7632089,2024-12-20,REELS,3833,867,13,4713
b1c9ad63-5d50-4ab1-9b7b-2f6f98f0bbb5,2024-12-04,STATIC_POST,425,58,209,692
6c24fbc7-b4c4-41bc-9632-9e5f648f5672,2024-08-25,VIDEO,3576,145,228,3949
3c52eba2-a4d0-4e18-ac0a-06fa85dea65a,2024-01-22,VIDEO,2020,635,275,2930
ff0793d3-cdae-498c-82ea-375b2ab193f4,2024-11-10,REELS,2176,771,332,3279
b06ad960-2560-41ef-831e-fda68ffe58fd,2024-06-29,REELS,2078,745,291,3114
00174b5c-b248-47b6-b1de-0154f0e63ea3,2024-04-23,REELS,4126,908,218,5252
10ed5d3f-7b38-41b4-a550-50f3a2f13d9b,2024-04-27,STATIC_POST,2031,743,368,3142
17733ff4-3348-4c7f-9560-b0b9bfc736fc,2024-09-15,TEXT,4971,852,453,6276
0cf0a3a4-8c4c-47bd-a69a-25e7a9a9420e,2024-11-06,TEXT,337,377,285,999
2d082f13-6006-4510-8804-0d026e45757c,2024-03-26,REELS,4006,763,287,5056
e93102e7-d4bd-460c-a989-4cd34df6d93c,2024-07-29,REELS,3166,193,392,3751
f6ba7e0b-fd64-4c9a-bd14-b2838dd2c2e6,2024-12-10,TEXT,1803,826,347,2976
5220806a-9226-4571-b4d8-524527a2050e,2024-03-07,TEXT,4527,748,388,5663
5a56246a-9a62-4e2a-a40e-26c39cf81d36,2024-04-10,VIDEO,3719,409,367,4495
f9c6c553-4eb5-4973-91ae-9cf7afcadab1,2024-07-15,TEXT,1347,552,181,2080
3ccf477f-52a2-43c8-8619-d795073c0448,2024-09-22,VIDEO,3618,114,371,4103
20afccd7-2bae-4e75-a486-294c52e7f2ab,2024-01-09,REELS,4150,221,27,4398
60e9797a-1611-43b1-bffc-62cd1c360525,2024-12-25,REELS,935,974,117,2026
9e1bb7c8-945c-440d-8bc7-29222f6532fb,2024-09-16,VIDEO,3385,872,127,4384
9597a16a-3eb9-4922-9079-fead39d55f9f,2024-04-21,TEXT,1983,735,387,3105
0c0b53f6-8397-451a-bf6c-52e707c06309,2024-09-08,STATIC_POST,4401,65,96,4562
bc431229-10c4-438e-9a7f-0799bccfb043,2024-02-21,REELS,662,668,52,1382
e2bc69cd-edb3-493b-96c8-bd6997ae35db,2024-07-15,VIDEO,3740,218,202,4160
9da28db1-b04d-47f1-912e-7e10979fc4c1,2024-11-21,STATIC_POST,3756,420,25,4201
49f1f5af-dde0-4db2-8170-a9fb4b6b3752,2024-03-27,VIDEO,2696,747,272,3715
1d07388c-f4d3-453b-aab5-fd9ef655436c,2024-04-06,REELS,1887,229,297,2413
596d5b29-e42d-4105-a278-754444389f7d,2024-05-04,REELS,2210,761,472,3443
a52f995e-d550-48b7-adc6-3fff6d7ef4d8,2024-09-04,VIDEO,4868,934,372,6174
2c01a9eb-3e1a-4d30-a61c-8d23d415fbce,2024-07-16,STATIC_POST,809,870,18,1697
5492c740-eadd-47e4-9a42-c3b8d12248a2,2024-08-10,VIDEO,1461,700,433,2594
b896daee-ec12-4d45-98fc-93f2e73b1d53,2024-05-26,VIDEO,4583,247,9,4839
1101eb96-5d85-4742-95ec-f0f9aa317817,2024-12-30,VIDEO,1871,324,276,2471
69db8b01-b73d-4014-83b7-ee6d7a8b3537,2024-11-06,STATIC_POST,2155,329,384,2868
ffa54282-3fb5-4b5f-b462-4399b5e2e7a1,2024-10-03,REELS,399,632,244,1275
a06c14d8-19f2-44fc-972d-60390759bba3,2024-02-21,REELS,832,480,11,1323
c98a4078-1d9a-4480-bda9-38d4787c7fbd,2024-12-18,REELS,2835,199,278,3312
eddf3a49-06c2-4680-978e-a03212036744,2024-03-09,REELS,60,953,236,1249
a94db8d3-0dcc-4af8-b035-6df4d77b861d,2024-03-29,STATIC_POST,688,557,454,1699
0fd0fb73-5101-40bb-a3ae-97c73cd50a55,2024-07-24,TEXT,2900,26,424,3350
806e0cf2-68c5-4a19-8579-39c36278a2a0,2024-01-12,REELS,177,719,73,969
4d037586-6e26-414a-96b3-493d4d25feb2,2024-07-17,VIDEO,4603,635,263,5501
b644e620-f43f-499e-98ce-d41c438f8f5d,2024-02-25,REELS,2179,657,144,2980
16f4c658-b20c-4393-a61b-3383ffd19ed7,2024-08-07,REELS,929,633,428,1990
6718b4c6-548a-4aa5-b5fd-117e1e265a57,2024-12-05,REELS,680,182,432,1294
a51a9bff-9b99-48c2-8127-2489a45e33e5,2024-03-09,REELS,310,278,284,872
953190da-0c16-4c58-85ca-a21685de9323,2024-11-17,TEXT,1621,179,225,2025
3a5bb991-10d8-4a39-a74b-b09a2abe1675,2024-10-22,STATIC_POST,1373,98,484,1955
1e5228d5-819a-4230-993a-0010076ad1c4,2024-09-04,TEXT,1348,986,472,2806
f9feaba4-082b-443e-80f9-c476cb4445fb,2024-08-10,STATIC_POST,3708,473,54,4235
ded1ca46-a22b-438b-a2c7-33e00d56a89f,2024-06-10,REELS,230,687,199,1116
39136da3-31e3-4419-b15c-0c62c5248256,2024-11-27,VIDEO,2451,929,485,3865
ff239180-1f6e-4899-bab5-afc8d87b08bc,2024-04-30,STATIC_POST,1847,784,303,2934
a641056e-9ffb-4e4d-9148-dc16f8027366,2024-11-29,REELS,2691,710,337,3738
b63d3adc-9f27-4b2b-b014-090223d957de,2024-04-18,STATIC_POST,2028,311,50,2389
4c6d64bb-1bd5-47fb-bfaf-d5318006b2b2,2024-06-21,VIDEO,2516,262,163,2941
50e97352-c630-4d90-8fe0-d4d86a408aad,2024-08-29,REELS,2989,389,286,3664
97f11b52-1771-47ae-85bc-bc23e8ad42b5,2024-12-01,TEXT,2773,565,381,3719
5a638f31-6b1f-47f7-ad94-f1f1ad7ca37f,2024-05-28,STATIC_POST,407,770,375,1552
57a68420-afb8-411a-97ad-92dfdc11f066,2024-03-04,TEXT,137,877,177,1191
af0c40f5-1ecd-46d6-8579-11fd692a194f,2024-08-26,REELS,589,916,103,1608
25dff378-c48e-40a0-83e7-f35d1ed9ff17,2024-12-02,STATIC_POST,1438,59,438,1935
dbf32ebb-0343-4f7b-a0fb-8ecc8f1d553e,2024-12-11,REELS,208,181,308,697
a326cbff-928b-455b-9435-f732500fdf23,2024-03-05,STATIC_POST,4064,921,46,5031
d5c3a6d7-a0f1-49f9-bdd4-b3cef780e721,2024-05-18,VIDEO,118,927,458,1503
ff1cf69a-f62a-43e4-96a8-8d4e38590d8d,2024-12-17,TEXT,1431,590,455,2476
90c23050-fb70-4321-9332-cbce8230a7d0,2024-11-02,VIDEO,3781,345,156,4282
e660274d-63c1-4cbc-9626-4682f5a8826a,2024-02-11,TEXT,384,531,490,1405
71d7b9a1-5cb6-4c93-b894-489e6d1a1a85,2024-08-03,VIDEO,441,6,120,567
874d8d7a-68c0-4bb4-b0a9-2dd9eb9e2a24,2024-05-18,VIDEO,60,301,291,652
25574d6c-17c3-450e-b3d7-6176cbfb554b,2024-02-26,STATIC_POST,610,739,397,1746
a5863618-48a4-44c1-85ef-8689f15e110e,2024-01-22,TEXT,1105,445,392,1942
d2085baa-ddc6-416f-92da-17a4ca0c17cd,2024-10-06,STATIC_POST,43,790,396,1229
2076c883-b7a6-4c28-a011-72cfa7068576,2024-12-09,TEXT,2636,359,184,3179
1fc5ae47-f0d0-4bee-85db-b7506141dbcd,2024-02-11,TEXT,4993,239,399,5631
6a45b688-5145-4044-8464-e6e1ef6b20a9,2024-12-14,TEXT,3709,13,34,3756
86c1485a-87e5-486c-8a41-d48c7a9f5418,2024-01-07,REELS,3601,818,390,4809
120cf9ec-4a7c-489a-b976-f2e77df3dca8,2024-08-05,VIDEO,2738,25,346,3109
c55f5715-5474-434b-827c-7bff706c68fa,2024-10-25,STATIC_POST,924,353,22,1299
34e7beb9-3152-4ed6-a26e-861cc0e968f4,2024-03-28,TEXT,4522,758,119,5399
db99369e-7ef2-41a1-a4b8-53561e3afec7,2024-12-12,STATIC_POST,4809,401,399,5609
915a4b95-4a9d-45b4-a024-7c8510845241,2024-02-13,TEXT,2614,157,57,2828
c29e88d5-b3e9-47b6-a8ab-f265fc15a025,2024-09-13,REELS,510,173,92,775
aad68dfe-d36b-420f-8cf4-6b599c3e1dfc,2024-05-30,TEXT,614,929,215,1758
253e13f7-6809-4073-ad28-aafabfcaf330,2024-04-18,REELS,4323,702,153,5178
262a45b7-1172-419b-a655-c934bb6a496d,2024-03-11,REELS,1318,586,418,2322
9a49db63-f669-4861-ad03-c7e2618a15f7,2024-02-20,STATIC_POST,1047,132,418,1597
